,,LIvro de Preço,,,,,
C.INTERNO,PRODUTO,,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000001,DIVERSOS,,0000000000001,UN,0,DIVERSOS,1.00
0000002,LAMPADA SUPER LED 9W OUROLUX,,7898324005176,UN, ,DIVERSOS,9.51
0000003,PREGOS GERDAU 2.1/2 X 10,,7891738018992,UN,10457,DIVERSOS,18.00
0000004,MARI BACIA CONVENCIONAL BRANCA  ,,1147892745790,UN,31400,DIVERSOS,260.00
0000005,CURVA SOLD FORTLEV 90X32  PCT ,,7898543590962,PC,31496,DIVERSOS,7.94
0000006,ACIDO MURIATICO PURIATICO 1L,,7893614114217,DZ,51118,DIVERSOS,14.00
0000007,ROMA BLOCO DE ESPUMA 3226 - UND,,7891595001410,UN,61197,DIVERSOS,6.00
0000008,ESPATULA PLASTICA MAX P/MASSA,,7897488003202,UN,61211,DIVERSOS,2.50
0000009,BROXA PINT GRANDE C/12 260 02 - DZ ,,7891055081402,DZ,61215,DIVERSOS,6.00
0000010,ROMA ROLO P/ TEXTURA RELEVO ,,0000000000010,UN,61533,DIVERSOS,27.00
0000011,ROLO LA 23CM ANTI RESPINGO ,,7891595003551,UN,61535,DIVERSOS,16.00
0000012,DISCO MELFI CORTE MADEIRA 4.3/8 - ,,7898943365279,UN,61653,DIVERSOS,13.00
0000013,DISCO MELFI CORTE MADEIRA 7.1/4 - ,,7898943365781,UN,61656,DIVERSOS,24.50
0000014,ARCO SERRA MELFI REGULAVEL ,,7898943365477,UN,62326,DIVERSOS,22.72
0000015,SERROTE CABO MADEIRA FERTAK 20 ,,7899095405882,UN,62639,DIVERSOS,34.59
0000016,SERROTE CABO MADEIRA FERTAK 22 ,,7899095405899,UN,62640,DIVERSOS,35.17
0000017,TINTA SPRAY ALTA TEMPERATURA ,,7898436140833,UN,833,DIVERSOS,22.00
0000018,FECHADURA SILVANA ASSA ABLOY ,,7898427930610,UN, ,SILVANA,70.00
0000019,SERRA BIMETAL STARRET,,7891265403308,UN,055450,DIVERSOS,12.00
0000020,PLATON ART LUZ QUADRADO ,,1000000020793,UN, ,DIVERSOS,6.05
0000021,CORAL RENDE MUITO 15L ACRILICA,,7890846759667,BD,61457,DIVERSOS,362.00
0000022,TINTA ACR FC 3.6L CORALAR BR ,,7891019176120,GL,CORAL,DIVERSOS,58.00
0000025,REJUNTE MARROM CAFE ,,7897255925447,SC,78597,DIVERSOS,13.00
0000026,REJUNTE BEGE QUARTZOLIT 1KG,,0000000000026,SC,61976,DIVERSOS,13.00
0000027,REJUNTE BRANCO QUARTZOLIT 1KG,,7897255911655,SC,32780,DIVERSOS,13.00
0000028,REJUNTE PRETO GRAFITE ,,7897255925584,SC,61966,DIVERSOS,13.00
0000029,REJUNTE MARROM TABACO ,,7897255912454,SC,922065,DIVERSOS,13.00
0000031,ELETRODO ACO 325MM REVEST ,,7891738625091,UN,885052,DIVERSOS,27.00
0000032,ELETRODO ACO 250MM REVEST ,,7898923595092,KG,934700,DIVERSOS,22.40
0000033,BOMBA SUB 450W220V 900 ,,7898908005066,UN,88039,DIVERSOS,348.46
0000034,TINTA SPRAY A TEMP 350ML BR/FC ,,7898436146149,SP,905143,DIVERSOS,23.00
0000035,TINTA SPRAY MET 400ML PT ,,7898436140215,UN,900825,DIVERSOS,20.00
0000036,TINTA SPRAY U GER 400ML PT/BRI ,,7898436140611,SP,611,DIVERSOS,20.00
24/10/2025 - 001,,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000037,TINTA SPRAY U GER 400ML PT/FC ,7898436140628,SP,628,DIVERSOS,20.00
0000038,REPARO REG 3/8 1416 MVS KELLY,7893398783180,PC,898707,DIVERSOS,20.86
0000039,VERNIZ UNIVERSO PREMIUM ,7891696000879,GL,879,DIVERSOS,34.00
0000040,VERNIZ 900ML EXT RAP MOG IQUINE,7892948000395,GL,638486,DIVERSOS,39.50
0000041,VERNIZ 09L EXT RAP IMBUIA  IQUINE,7892948000180,LT,64155,DIVERSOS,37.50
0000042,TINTA ESM BR 09L DIALINE BR/NV ,7892948007752,LT,74589,DIVERSOS,28.00
0000043,SELADOR MADEIRA SAYERLACK,7891567246153,LT,16003,DIVERSOS,45.00
0000044,SELADOR MAD 36L INC IQUINE,7892948000807,GL,16026,DIVERSOS,91.32
0000045,MASSA ACRILICA CORAL 1.5 KG,7891019105809,LT,24879,DIVERSOS,27.00
0000046,MASSA ACRIL 6KG CORAL,7891019918225,GL,954317,DIVERSOS,48.00
0000047,MASSA CORRIDA 25KG DIATEX IQUINE ,7892948043170,BD,943577,DIVERSOS,59.33
0000048,MASSA CORRIDA 25KG IQUINE,7892948044979,LT,943205,DIVERSOS,70.03
0000049,TINTA IQUINE ACRILICA PINTALAR 15L,7892948043187,BD,924378,DIVERSOS,125.00
0000050,MASSA CORRIDA 1.5KG CORALAR ,7891019137138,LT,25625,DIVERSOS,13.00
0000051,MASSA PLASTICA CZA IBERE   ,7898031546955,UN,019173,DIVERSOS,16.50
0000052,MASSA PLASTICA BCA IBERE   ,7898031546924,CX,019177,DIVERSOS,16.50
0000055,PICARETA ALVIAO TRAMONTINA ,7891117011217,CX,005019,DIVERSOS,82.00
0000057,CESTA MERCEARIA 16L44X29X19 ,0000000000057,SC,010111,DIVERSOS,46.00
0000058,CABO FLEX.  2.5MM AZ.CORFIO   C100,7898410392357,M,017915,DIVERSOS,2.90
0000059,CABO FLEX.  2.5MM VD.CORFIO   C100,7898141661203,RL,017918,DIVERSOS,2.90
0000060,CABO FLEX.  2.5MM VM.CORFIO   C100,7898141661210,RL,017919,DIVERSOS,2.90
0000061,PENEIRA ARROZ/AREIA55MAD.S.,7898100550524,AM,032616,DIVERSOS,15.89
0000062,CAVADEIRA RETA C/CABO 140M MOMF,7897937420468,AM,055037,DIVERSOS,46.20
0000064,BOMBA SUB SAPO 450W 700 5G ,7892201605701,UN,081607,DIVERSOS,644.00
0000065,LIMA SERROTE 3 QUINAS 4  KF,7891645101091,DZ,005620,DIVERSOS,16.50
0000066,LINHA PEDREIRO LISA ,7896411453558,UN,005886,DIVERSOS,10.00
0000067,BOIA CX.DAGUA  1/2X3/4 UNIV.GRAP,7898100075058,UN,007839,DIVERSOS,10.00
0000068,TE 90 LLR 20X20X1/2  SL  KRONA C20,17897801300770,SC,020185,DIVERSOS,2.94
0000069,TE LR AZUL 25X1/2 FORTLEV,17898543591334,UN,020377,DIVERSOS,8.00
0000070,REGISTRO ESFERA SOLD 25MM,7898234992108,SC,020398,DIVERSOS,10.00
0000071,LUVA CORRER SOLD 20MM FORTLEV,7898911343711,DZ,020411,DIVERSOS,8.00
0000072,LUVA CORRER SOLD 25MM FORTLEV,7898543592884,DZ,020412,DIVERSOS,10.00
0000073,BUCHA RED.LGA 50X25 SOLD FORTL.,17898543591693,PT,020418,DIVERSOS,3.42
0000074,BOIA CX.DAGUA 1/2 E 3/4 KRONA C20,7897801319041,CX,026943,DIVERSOS,12.00
0000075,PARAFUSO ROSCA ESQ.MAKIT/BOSCH ,7898955842072,PT,075904,DIVERSOS,3.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000076,DISJUNTOR UNI C40A BCO DIN JNG,7898488023443,UN,081824,DIVERSOS,13.00
0000077,LUVA LATEX AMAR.FOR. M08 AD.,17908089600435,DZ,082989,DIVERSOS,3.71
0000078,LUVA LATEX AMAR.FOR.G09 AD.IMBAT,17908089600442,DZ,082990,DIVERSOS,3.71
0000079,BOTA BORRACHA PEGA FORTE BC ,7890244084156,CX,083781,DIVERSOS,50.00
0000080,BOTA BORRACHA PEGA FORTE BC ,7890875000998,CX,083783,DIVERSOS,50.00
0000081,BOTA BORRACHA PEGA FORTE BC ,7909224158333,CX,083786,DIVERSOS,50.00
0000082,PREGOS GERDAU 22X54,7891738019258,UN,63828,DIVERSOS,21.00
0000085,TRENA IRWIN 5M,7897095037133,UN,075388,DIVERSOS,28.00
0000086,TRENA IRWIN 3M,7897095037126,UN, ,DIVERSOS,22.02
0000087,AGUARRAS SAYERRAZ 900ML,7891567470534,UN, ,DIVERSOS,18.00
0000088,QUEROSENE 450ML,7897176401761,UN, ,DIVERSOS,10.01
0000089,THINNER 450ML,7897176402980,UN,9495,DIVERSOS,9.00
0000090,GLOBO COR/ OCRE,7891323075409,UN,003059,DIVERSOS,6.00
0000091,GLOBO COR/ VERMELHO,7891323075447,UN,003062,DIVERSOS,6.00
0000092,GLOBO COR/ VERDE,7891323075430,UN,003645,DIVERSOS,6.00
0000093,GLOBO COR/ AZUL,7891323075379,UN,003277,DIVERSOS,6.00
0000094,GLOBO COR/ MARROM,7891323075416,UN,003058,DIVERSOS,6.00
0000095,GLOBO COR/ PRETO,7891323075423,UN,003060,DIVERSOS,6.00
0000096,GLOBO COR/ AMARELO,7891323075362,UN,003056,DIVERSOS,6.00
0000097,GLOBO COR/ LARANJA,7891323075393,UN,078085,DIVERSOS,6.00
0000098,GLOBO COR/ VIOLETA,7891323075454,UN,2747,DIVERSOS,6.00
0000099,SILICONE TEK BOND 256G USO GERAL,7898472259629,PC,84625,DIVERSOS,14.50
0000103,BROXA ATLAS RETANG 800-02 18 X 8.0 ,7896380131075,PC,3060,DIVERSOS,6.16
0000104,CAVADEIRA TRAMONTINA RETA ,7891117100904,PC,93500,DIVERSOS,36.50
0000105,DISCO CORTAG DIAM SEGMENTADO ,7897451416992,PC,94344,DIVERSOS,19.00
0000106,DISJ SCHNEIDER  12 CURVA C,1100000107705,PC,44019,DIVERSOS,14.00
0000107,ENXADA TRAMONTINA BA VIRAD FORJ ,0000000000107,PC,288,DIVERSOS,51.00
0000108,INT RADIAL EXTERNO RED 1 TEC SIMP ,1100000109990,PC,7955,DIVERSOS,3.07
0000109,LAMP AVANT LED 09W 6500K BIVOLT,7899825505295,UN,93264,DIVERSOS,9.00
0000110,LAMPADA AVANT LED 12W 6500K,7899825505349,PC,93262,DIVERSOS,11.84
0000111,LIXA NORTON P/MASSA/MADEIRA ,7891792133761,PT,6935,DIVERSOS,1.50
0000112,PEDRA NORTON DE AFIAR JT 911,1100000113713,PC,6943,DIVERSOS,4.00
0000114,REGISTRO ESFERA SOLD 25MM ,1100000115045,PT,31359,DIVERSOS,10.00
0000115,REGISTRO ESFERA 32MM KRONA,1100000116240,PT,31360,DIVERSOS,13.00
0000116,TE MANG IRRIGACAO TRIPLO ,17897203424128,UN,7558,DIVERSOS,2.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000117,THINER DILUENTE SOLUT 450ML,7908147617347,UN,9495,DIVERSOS,12.00
0000118,TOMADA RADIAL EXT REDOND 2PT ,7898195646294,PC,7286,DIVERSOS,5.00
0000119,"EMENDA MANG IRRIGACAO 1/2"" 20",1100000120384,PT,7528,DIVERSOS,1.00
0000120,"EMENDA MANG IRRIGACAO 3/4"" 25",17897203424166,PT,7529,DIVERSOS,1.50
0000121,ESMALTE SINT. MARROM,7891696008721,UN, ,DIVERSOS,28.00
0000122,ESMALTE SINTETICO LUZeCOR CINZA ,7891542150215,UN, ,DIVERSOS,29.00
0000123,ESMALTE SINT. CONHAQUE,7891696008707,UN,5404,DIVERSOS,27.00
0000124,INSETXOU  120ML,7898937728011,UN,,DIVERSOS,12.00
0000125,FERROLHO PINO DOB. LATONADO ,7899154827877,UN,2787,DIVERSOS,28.00
0000126,FERROLHO PINO DOB. NIQUELADO ,7899154828058,UN,2805,DIVERSOS,30.60
0000127,"FERROLHO RED.LEVE 5"" FLO OURO ",2917400001989,UN,0198,OURO PRETO,12.00
0000128,FERROLHO PINO DOB. NIQUELADO ,7899154828065,UN,2806,DIVERSOS,29.40
0000129,FERROLHO PINO DOB. NIQUELADO ,7899154828041,UN,2804,DIVERSOS,20.50
0000130,FERROLHO PINO DOB.LATONADO 5CM ,7899154818073,UN,1807,DIVERSOS,11.50
0000131,FERROLHO PINO DOB.LATONADO ,7899154827860,UN,2786,DIVERSOS,22.00
0000132,FERROLHO PINO DOB.LATONADO 8CM ,7899154827853,UN,2785,DIVERSOS,17.00
0000134,FERRAGEM 5/16 6MT,1000000134254,UN,48,DIVERSOS,100.00
0000136,CIMENTO MONTES CLAROS CPII 50KG,1000000136999,UN,1,DIVERSOS,45.00
0000137,FERRAGEM 3/8 6MT,1000000137118,UN,000122,DIVERSOS,165.00
0000139,VR FERRO 5/16 12M,1000000139020,UN,VARA,DIVERSOS,45.00
0000140,VR FERRO 3/8,1000000140774,UN,VARA,DIVERSOS,70.00
